season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
3,1,9,9,0,6,0,1,0.64,0.6061,0.69,0.2537,377
3,0,7,23,1,1,0,2,0.72,0.6818,0.7,0.1045,138
2,0,3,12,0,6,0,1,0.3,0.2879,0.36,0.194,227
2,0,6,19,0,5,1,1,0.68,0.6212,0.26,0.2836,391
2,1,4,19,0,3,1,1,0.6,0.5909,0.2,0.194,543
4,1,10,14,0,2,1,3,0.3,0.2727,0.81,0.3582,126
4,1,11,21,0,3,1,1,0.3,0.3333,0.56,0.0,213
2,1,4,6,0,3,1,2,0.5,0.4848,0.39,0.2836,134
2,1,6,2,0,5,1,1,0.56,0.5303,0.56,0.0,19
4,0,10,7,0,1,1,2,0.5,0.4848,0.55,0.1642,309
4,0,10,18,0,6,0,1,0.44,0.4394,0.54,0.0896,335
1,1,2,16,0,3,1,1,0.6,0.6212,0.4,0.2239,283
2,1,3,9,0,0,0,2,0.4,0.4091,0.94,0.2537,118
2,1,5,10,0,0,0,1,0.68,0.6364,0.74,0.2537,424
4,1,10,20,0,0,0,3,0.42,0.4242,0.94,0.4627,55
3,1,7,21,0,0,0,1,0.7,0.6667,0.79,0.1045,345
4,1,11,2,0,3,1,2,0.26,0.2576,0.75,0.2239,1
2,1,4,23,0,5,1,1,0.4,0.4091,0.4,0.2537,116
3,1,7,21,0,1,1,1,0.72,0.6818,0.7,0.194,322
4,1,12,16,0,2,1,1,0.44,0.4394,0.41,0.4627,363
1,0,1,22,0,2,1,2,0.22,0.2576,0.93,0.0896,33
3,0,8,19,0,4,1,2,0.66,0.6061,0.78,0.3284,272
1,1,1,4,0,5,1,2,0.4,0.4091,1.0,0.2985,4
2,0,4,22,0,0,0,1,0.5,0.4848,0.39,0.1045,70
3,0,6,12,0,4,1,2,0.76,0.7273,0.66,0.2836,160
3,1,7,5,0,5,1,2,0.66,0.6364,0.56,0.0896,34
1,0,2,16,0,5,1,1,0.32,0.2879,0.49,0.4627,102
1,0,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1
4,0,9,0,0,1,1,2,0.62,0.5455,0.94,0.0,29
3,1,7,18,0,3,1,1,0.78,0.6818,0.38,0.2537,814
1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0.0,52
4,1,12,7,0,5,1,1,0.2,0.2121,0.72,0.1045,308
2,0,3,19,0,6,0,2,0.28,0.2727,0.45,0.2537,138
2,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,513
1,0,12,9,0,3,1,1,0.32,0.303,0.57,0.3284,189
1,0,2,9,0,0,0,1,0.28,0.2879,0.56,0.1045,45
1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
2,0,4,1,0,6,0,2,0.32,0.3182,1.0,0.194,16
2,1,4,13,0,0,0,1,0.5,0.4848,0.45,0.1045,595
1,1,3,0,0,6,0,3,0.36,0.3636,0.93,0.0896,22
